iter	MultiClass
0	1.890656322
1	1.847592571
2	1.813122442
3	1.784330664
4	1.760090046
5	1.737629957
6	1.718842754
7	1.702998439
8	1.688968169
9	1.676744602
10	1.664925791
11	1.654525001
12	1.644351129
13	1.63608542
14	1.627139295
15	1.619328824
16	1.613153169
17	1.607414111
18	1.601509612
19	1.595289487
20	1.589205456
21	1.585151936
22	1.579745014
23	1.574543234
24	1.568571568
25	1.5632927
26	1.558569114
27	1.555643417
28	1.551675811
29	1.548618642
30	1.544522126
31	1.540855837
32	1.538361081
33	1.534793599
34	1.530758426
35	1.52809446
36	1.526134081
37	1.523019346
38	1.520573042
39	1.517130926
40	1.514602663
41	1.512627371
42	1.509398974
43	1.506132998
44	1.50417683
45	1.500316757
46	1.498069366
47	1.496098694
48	1.493671394
49	1.491773849
50	1.489628242
51	1.487335625
52	1.485430934
53	1.483683844
54	1.481870919
55	1.479348373
56	1.477998914
57	1.476099608
58	1.474124261
59	1.472119908
60	1.470172874
61	1.468785722
62	1.466952645
63	1.464220172
64	1.463154207
65	1.460833997
66	1.459015037
67	1.457986867
68	1.456581068
69	1.455278539
70	1.454152014
71	1.45314542
72	1.451627875
73	1.450099082
74	1.448854874
75	1.447559966
76	1.446091685
77	1.443894382
78	1.44214971
79	1.440025216
80	1.43827314
81	1.436710996
82	1.435616422
83	1.43400281
84	1.432463232
85	1.43049448
86	1.429053655
87	1.427124938
88	1.425193455
89	1.42397514
90	1.421937286
91	1.420578673
92	1.419245459
93	1.417127612
94	1.415744407
95	1.414645244
96	1.413535151
97	1.412267751
98	1.410371696
99	1.409074564
100	1.407302888
101	1.4056805
102	1.404473961
103	1.40324833
104	1.40184021
105	1.400260494
106	1.399176233
107	1.397632101
108	1.396405126
109	1.395636088
110	1.394354901
111	1.392706585
112	1.390949456
113	1.38969295
114	1.388265697
115	1.387454838
116	1.386471628
117	1.385693073
118	1.38436967
119	1.383630745
120	1.382449262
121	1.381751772
122	1.380849385
123	1.379631291
124	1.378400456
125	1.37774027
126	1.377036508
127	1.376137536
128	1.375275686
129	1.374094443
130	1.37280621
131	1.371781341
132	1.370520229
133	1.369858709
134	1.369053358
135	1.368384838
136	1.367198023
137	1.366288853
138	1.365156243
139	1.364512503
140	1.363342682
141	1.362202236
142	1.361284097
143	1.360234133
