iter	Passed	Remaining
0	681	680823
1	1427	712093
2	1879	624693
3	2291	570626
4	2694	536239
5	3031	502183
6	3280	465347
7	3550	440243
8	3849	423876
9	4140	409866
10	4417	397186
11	4673	384793
12	4967	377123
13	5220	367641
14	5516	362218
15	5784	355774
16	6056	350199
17	6306	344045
18	6561	338763
19	6914	338787
20	7244	337754
21	7567	336422
22	7886	335001
23	8141	331103
24	8469	330294
25	8819	330390
26	9149	329729
27	9566	332097
28	9911	331860
29	10155	328349
30	10422	325779
31	10668	322713
32	10884	318961
33	11129	316221
34	11433	315224
35	11709	313563
36	11993	312166
37	12276	310777
38	12539	308990
39	12847	308341
40	13137	307288
41	13339	304274
42	13583	302320
43	13868	301334
44	14097	299171
45	14362	297870
46	14610	296250
47	14848	294485
48	15094	292965
49	15372	292068
50	15713	292386
51	16147	294378
52	16476	294401
53	16739	293246
54	17024	292511
55	17344	292386
56	17663	292215
57	17932	291245
58	18178	289931
59	18456	289144
60	18695	287783
61	18911	286117
62	19137	284637
63	19408	283842
64	19614	282145
65	19866	281141
66	20091	279780
67	20300	278239
68	20608	278067
69	20865	277211
70	21098	276065
71	21374	275497
72	21648	274904
73	21881	273809
74	22130	272948
75	22351	271744
76	22568	270529
77	22839	269975
78	23095	269246
79	23375	268821
80	23644	268261
81	23925	267849
82	24136	266669
83	24485	267012
84	24893	267975
85	25213	267969
86	25547	268099
87	25902	268445
88	26315	269367
89	26641	269380
90	26943	269140
91	27250	268950
92	27531	268510
93	27873	268654
94	28164	268306
95	28440	267817
96	28649	266709
97	28859	265622
98	29140	265205
99	29400	264607
100	29641	263836
101	29883	263089
102	30117	262288
103	30359	261558
104	30606	260886
105	30881	260449
106	31127	259779
107	31380	259181
108	31757	259592
109	32046	259284
110	32355	259136
111	32625	258673
112	32910	258329
113	33192	257973
114	33508	257869
115	33744	257152
116	34005	256641
117	34236	255900
118	34537	255694
119	34777	255034
120	35016	254374
121	35224	253502
122	35459	252829
123	35746	252535
124	36039	252277
125	36303	251818
126	36526	251085
127	36786	250608
128	37091	250441
129	37373	250117
130	37683	249975
131	38011	249956
132	38298	249660
133	38543	249096
134	38761	248363
135	39077	248259
136	39319	247687
137	39568	247160
138	39854	246869
139	40116	246431
140	40421	246257
141	40680	245799
142	40897	245098
143	41224	245057
144	41502	244722
145	41743	244170
146	41987	243643
147	42265	243313
148	42515	242822
149	42745	242224
150	42973	241618
151	43285	241490
152	43566	241179
153	43804	240639
154	44029	240033
155	44242	239363
156	44480	238836
157	44708	238257
158	44975	237891
159	45175	237169
160	45445	236824
161	45811	236976
162	46115	236800
163	46968	239423
164	47429	240021
165	47796	240134
166	48122	240037
167	48413	239761
168	48678	239361
169	48938	238936
170	49215	238595
171	49405	237835
172	49693	237553
173	50040	237546
174	50291	237089
175	50535	236595
176	50762	236030
177	51009	235558
178	51382	235670
179	51752	235759
180	52051	235526
181	52272	234940
182	52546	234594
183	52826	234274
184	53121	234022
185	53354	233498
186	53624	233135
187	53881	232720
188	54132	232281
189	54371	231795
190	54595	231245
191	54848	230820
192	55097	230380
193	55354	229977
194	55572	229414
195	55861	229147
196	56128	228788
197	56403	228463
198	56632	227954
199	56886	227545
200	57213	227429
201	57464	227013
202	57733	226667
203	58012	226361
204	58265	225956
205	58575	225770
206	58896	225629
207	59162	225271
208	59453	225013
209	59693	224562
210	59930	224099
211	60170	223652
212	60413	223219
213	60657	222789
214	60881	222287
215	61145	221937
216	61394	221530
217	61630	221079
218	61833	220509
219	62028	219919
220	62248	219419
221	62488	218990
222	62724	218550
223	62937	218032
224	63181	217624
225	63432	217241
226	63717	216975
227	64024	216783
228	64283	216429
229	64532	216043
230	64769	215616
231	65038	215299
232	65317	215013
233	65575	214662
234	65808	214228
235	66030	213759
236	66308	213473
237	66560	213104
238	66792	212674
239	67014	212211
240	67256	211817
241	67551	211586
242	67833	211316
243	68148	211149
244	68424	210860
245	68688	210532
246	68963	210240
247	69255	210000
248	69536	209725
249	69811	209434
250	70076	209112
251	70261	208555
252	70460	208038
253	70765	207837
254	71069	207633
255	71365	207405
256	71656	207161
257	71910	206811
258	72190	206538
259	72400	206063
260	72655	205716
261	72890	205316
262	73183	205079
263	73428	204708
264	73624	204204
265	73831	203731
266	74110	203456
267	74353	203084
268	74607	202742
269	74826	202308
270	75066	201930
271	75350	201672
272	75604	201335
273	75863	201009
274	76162	200791
275	76500	200674
276	76794	200441
277	77099	200237
278	77429	200095
279	77773	199988
280	78058	199729
281	78318	199405
282	78542	198992
283	78802	198671
284	79097	198436
285	79337	198065
286	79563	197661
287	79816	197324
288	80103	197072
289	80416	196882
290	80632	196454
291	80907	196173
292	81141	195791
293	81373	195407
294	81631	195086
295	81914	194823
296	82221	194617
297	82484	194310
298	82742	193987
299	82946	193541
300	83214	193246
301	83451	192877
302	83695	192528
303	83940	192179
304	84155	191765
305	84371	191351
306	84640	191061
307	84917	190788
308	85180	190484
309	85422	190135
310	85694	189851
311	85939	189508
312	86151	189093
313	86412	188785
314	86617	188358
315	86865	188025
316	87101	187665
317	87343	187321
318	87574	186953
319	87780	186532
320	87998	186139
321	88194	185702
322	88422	185330
323	88752	185174
324	88992	184830
325	89216	184453
326	89474	184148
327	89687	183749
328	89913	183380
329	90120	182972
330	90371	182653
331	90607	182307
332	90813	181899
333	91020	181496
334	91258	181154
335	91484	180789
336	91723	180453
337	91951	180094
338	92173	179724
339	92383	179332
340	92579	178914
341	92814	178572
342	93143	178411
343	93415	178141
344	93666	177829
345	93895	177478
346	94172	177218
347	94377	176823
348	94578	176419
349	94844	176139
350	95169	175967
351	95396	175616
352	95649	175312
353	95903	175009
354	96145	174686
355	96425	174433
356	96727	174217
357	97027	173999
358	97270	173678
359	97527	173381
360	97757	173038
361	98009	172735
362	98258	172426
363	98502	172108
364	98729	171761
365	99009	171509
366	99289	171254
367	99514	170905
368	99735	170550
369	99982	170240
370	100227	169927
371	100438	169557
372	100660	169207
373	100876	168847
374	101135	168558
375	101362	168219
376	101587	167875
377	101857	167606
378	102093	167281
379	102333	166965
380	102579	166658
381	102822	166346
382	103095	166083
383	103341	165776
384	103554	165418
385	103779	165080
386	104016	164759
387	104244	164427
388	104479	164105
389	104700	163761
390	104912	163406
391	105124	163050
392	105380	162764
393	105604	162427
394	105855	162133
395	106100	161830
396	106337	161515
397	106568	161191
398	106832	160918
399	107052	160579
400	107299	160279
401	107525	159950
402	107769	159648
403	107985	159305
404	108225	158997
405	108496	158736
406	108758	158461
407	109006	158166
408	109256	157874
409	109501	157574
410	109750	157282
411	110009	157004
412	110247	156695
413	110459	156351
414	110701	156049
415	110940	155743
416	111194	155459
417	111429	155148
418	111655	154825
419	111938	154581
420	112189	154293
421	112461	154035
422	112754	153803
423	113013	153527
424	113268	153245
425	113523	152962
426	113740	152630
427	113997	152352
428	114265	152087
429	114533	151822
430	114770	151518
431	115035	151250
432	115250	150916
433	115492	150619
434	115734	150322
435	115985	150035
436	116243	149760
437	116438	149403
438	116697	149128
439	117030	148948
440	117306	148695
441	117609	148475
442	117860	148190
443	118089	147877
444	118317	147564
445	118525	147227
446	118749	146909
447	118994	146617
448	119263	146356
449	119535	146098
450	119782	145810
451	120012	145501
452	120253	145207
453	120492	144909
454	120775	144665
455	121018	144373
456	121255	144074
457	121482	143763
458	121701	143443
459	121961	143172
460	122230	142911
461	122466	142612
462	122690	142299
463	122945	142022
464	123180	141723
465	123412	141421
466	123635	141109
467	123883	140825
468	124087	140491
469	124326	140198
470	124543	139880
471	124757	139559
472	124989	139259
473	125241	138981
474	125477	138685
475	125692	138367
476	125951	138097
477	126162	137775
478	126384	137465
479	126636	137189
480	126876	136899
481	127094	136587
482	127348	136313
483	127592	136027
484	127918	135830
485	128213	135600
486	128459	135317
487	128711	135041
488	128996	134799
489	129239	134515
490	129463	134209
491	129711	133929
492	129970	133661
493	130229	133392
494	130483	133119
495	130763	132872
496	131044	132626
497	131270	132324
498	131480	132007
499	131731	131731
500	131970	131443
501	132188	131135
502	132459	130879
503	132678	130572
504	132882	130250
505	133135	129977
506	133377	129694
507	133566	129360
508	133808	129076
509	134063	128806
510	134298	128516
511	134509	128204
512	134761	127931
513	134985	127632
514	135203	127327
515	135417	127019
516	135633	126714
517	135865	126422
518	136095	126130
519	136350	125861
520	136612	125599
521	136833	125299
522	137079	125022
523	137321	124742
524	137594	124489
525	137822	124197
526	138046	123901
527	138304	123635
528	138529	123340
529	138751	123044
530	138975	122748
531	139209	122462
532	139441	122174
533	139666	121880
534	139901	121597
535	140121	121299
536	140362	121020
537	140590	120730
538	140878	120491
539	141108	120203
540	141376	119947
541	141574	119633
542	141789	119332
543	142082	119098
544	142310	118810
545	142580	118556
546	142824	118280
547	143034	117976
548	143266	117692
549	143558	117457
550	143831	117205
551	144091	116943
552	144342	116674
553	144638	116441
554	144911	116190
555	145116	115884
556	145352	115603
557	145606	115337
558	145837	115052
559	146073	114772
560	146337	114513
561	146558	114221
562	146804	113949
563	147044	113672
564	147274	113388
565	147509	113108
566	147735	112820
567	147966	112537
568	148212	112266
569	148457	111994
570	148736	111747
571	149187	111629
572	149598	111480
573	150020	111339
574	150320	111106
575	150606	110863
576	150916	110637
577	151170	110370
578	151427	110105
579	151714	109862
580	151979	109602
581	152277	109367
582	152640	109178
583	152925	108933
584	153217	108692
585	153494	108441
586	153727	108159
587	153960	107877
588	154219	107613
589	154487	107355
590	154741	107088
591	155020	106838
592	155297	106587
593	155543	106314
594	155745	106011
595	156005	105748
596	156253	105477
597	156483	105194
598	156771	104950
599	157016	104677
600	157242	104392
601	157523	104143
602	157786	103882
603	158051	103623
604	158351	103386
605	158597	103114
606	158865	102857
607	159218	102654
608	159527	102422
609	159856	102203
610	160141	101955
